mu	lambda	eps	turnover	netdiv	psi	ntip	m.type	k.type	k.ratio
0.052173913	0.347826087	0.15	0.4	0.295652174	0.01	200	0	7	1
0.052173913	0.347826087	0.15	0.4	0.295652174	0.01	200	0	5	1
0.052173913	0.347826087	0.15	0.4	0.295652174	0.01	200	1	4	0.8
0.052173913	0.347826087	0.15	0.4	0.295652174	0.01	200	0	7	1
0.065217391	0.434782609	0.15	0.5	0.369565217	0.01	200	0	6	1
0.065217391	0.434782609	0.15	0.5	0.369565217	0.01	200	0	1	1
0.065217391	0.434782609	0.15	0.5	0.369565217	0.01	200	1	8	0.888888889
0.065217391	0.434782609	0.15	0.5	0.369565217	0.01	200	0	8	1
0.065217391	0.434782609	0.15	0.5	0.369565217	0.01	200	0	4	1
0.065217391	0.434782609	0.15	0.5	0.369565217	0.01	200	1	6	0.857142857
0.065217391	0.434782609	0.15	0.5	0.369565217	0.01	200	1	5	0.833333333
0.065217391	0.434782609	0.15	0.5	0.369565217	0.01	200	0	1	1
0.065217391	0.434782609	0.15	0.5	0.369565217	0.01	200	1	4	0.8
0.065217391	0.434782609	0.15	0.5	0.369565217	0.01	200	0	7	1
0.065217391	0.434782609	0.15	0.5	0.369565217	0.01	200	0	4	1
0.065217391	0.434782609	0.15	0.5	0.369565217	0.01	200	0	5	1
0.065217391	0.434782609	0.15	0.5	0.369565217	0.01	200	1	7	0.875
0.065217391	0.434782609	0.15	0.5	0.369565217	0.01	200	0	5	1
0.065217391	0.434782609	0.15	0.5	0.369565217	0.01	200	0	2	1
0.065217391	0.434782609	0.15	0.5	0.369565217	0.01	200	1	3	0.75
0.065217391	0.434782609	0.15	0.5	0.369565217	0.01	200	1	3	0.75
0.065217391	0.434782609	0.15	0.5	0.369565217	0.01	200	0	2	1
0.065217391	0.434782609	0.15	0.5	0.369565217	0.01	200	0	5	1
0.065217391	0.434782609	0.15	0.5	0.369565217	0.01	200	0	2	1
0.07826087	0.52173913	0.15	0.6	0.443478261	0.01	200	0	7	1
0.07826087	0.52173913	0.15	0.6	0.443478261	0.01	200	0	3	1
0.07826087	0.52173913	0.15	0.6	0.443478261	0.01	200	0	4	1
0.07826087	0.52173913	0.15	0.6	0.443478261	0.01	200	1	5	0.833333333
0.07826087	0.52173913	0.15	0.6	0.443478261	0.01	200	0	2	1
0.07826087	0.52173913	0.15	0.6	0.443478261	0.01	200	0	4	1
0.07826087	0.52173913	0.15	0.6	0.443478261	0.01	200	0	3	1
0.07826087	0.52173913	0.15	0.6	0.443478261	0.01	200	0	3	1
0.07826087	0.52173913	0.15	0.6	0.443478261	0.01	200	1	3	0.75
0.07826087	0.52173913	0.15	0.6	0.443478261	0.01	200	0	3	1
0.07826087	0.52173913	0.15	0.6	0.443478261	0.01	200	0	1	1
0.07826087	0.52173913	0.15	0.6	0.443478261	0.01	200	1	3	0.75
0.07826087	0.52173913	0.15	0.6	0.443478261	0.01	200	0	10	1
0.07826087	0.52173913	0.15	0.6	0.443478261	0.01	200	0	3	1
0.07826087	0.52173913	0.15	0.6	0.443478261	0.01	200	0	4	1
0.07826087	0.52173913	0.15	0.6	0.443478261	0.01	200	1	5	0.833333333
0.07826087	0.52173913	0.15	0.6	0.443478261	0.01	200	3	1	0.25
0.07826087	0.52173913	0.15	0.6	0.443478261	0.01	200	0	1	1
0.07826087	0.52173913	0.15	0.6	0.443478261	0.01	200	0	9	1
0.07826087	0.52173913	0.15	0.6	0.443478261	0.01	200	1	2	0.666666667
0.091304348	0.608695652	0.15	0.7	0.517391304	0.01	200	1	1	0.5
0.091304348	0.608695652	0.15	0.7	0.517391304	0.01	200	0	2	1
0.091304348	0.608695652	0.15	0.7	0.517391304	0.01	200	0	3	1
0.091304348	0.608695652	0.15	0.7	0.517391304	0.01	200	0	2	1
0.091304348	0.608695652	0.15	0.7	0.517391304	0.01	200	1	6	0.857142857
0.091304348	0.608695652	0.15	0.7	0.517391304	0.01	200	0	2	1
0.091304348	0.608695652	0.15	0.7	0.517391304	0.01	200	0	2	1
0.091304348	0.608695652	0.15	0.7	0.517391304	0.01	200	0	5	1
0.091304348	0.608695652	0.15	0.7	0.517391304	0.01	200	0	7	1
0.091304348	0.608695652	0.15	0.7	0.517391304	0.01	200	0	3	1
0.091304348	0.608695652	0.15	0.7	0.517391304	0.01	200	0	2	1
0.091304348	0.608695652	0.15	0.7	0.517391304	0.01	200	0	5	1
0.091304348	0.608695652	0.15	0.7	0.517391304	0.01	200	1	3	0.75
0.091304348	0.608695652	0.15	0.7	0.517391304	0.01	200	0	8	1
0.091304348	0.608695652	0.15	0.7	0.517391304	0.01	200	1	3	0.75
0.091304348	0.608695652	0.15	0.7	0.517391304	0.01	200	0	5	1
0.091304348	0.608695652	0.15	0.7	0.517391304	0.01	200	0	3	1
0.091304348	0.608695652	0.15	0.7	0.517391304	0.01	200	0	3	1
0.091304348	0.608695652	0.15	0.7	0.517391304	0.01	200	0	5	1
0.091304348	0.608695652	0.15	0.7	0.517391304	0.01	200	1	2	0.666666667
0.104347826	0.695652174	0.15	0.8	0.591304348	0.01	200	0	3	1
0.104347826	0.695652174	0.15	0.8	0.591304348	0.01	200	0	3	1
0.104347826	0.695652174	0.15	0.8	0.591304348	0.01	200	0	3	1
0.104347826	0.695652174	0.15	0.8	0.591304348	0.01	200	0	4	1
0.104347826	0.695652174	0.15	0.8	0.591304348	0.01	200	1	1	0.5
0.104347826	0.695652174	0.15	0.8	0.591304348	0.01	200	1	3	0.75
0.104347826	0.695652174	0.15	0.8	0.591304348	0.01	200	2	2	0.5
0.104347826	0.695652174	0.15	0.8	0.591304348	0.01	200	1	3	0.75
0.104347826	0.695652174	0.15	0.8	0.591304348	0.01	200	0	4	1
0.104347826	0.695652174	0.15	0.8	0.591304348	0.01	200	0	3	1
0.104347826	0.695652174	0.15	0.8	0.591304348	0.01	200	0	3	1
0.104347826	0.695652174	0.15	0.8	0.591304348	0.01	200	0	4	1
0.104347826	0.695652174	0.15	0.8	0.591304348	0.01	200	0	3	1
0.104347826	0.695652174	0.15	0.8	0.591304348	0.01	200	1	2	0.666666667
0.104347826	0.695652174	0.15	0.8	0.591304348	0.01	200	0	2	1
